bit,mdi,perm_mean,perm_std
1088,0.002738330643385387,0.0015948816886582524,0.0004034322717304125
80,0.0026282146957762307,0.0010853713173476127,0.00021439565500696182
694,0.0025991136487935494,0.002194993569159013,0.0009050398692337601
347,0.002588442349930413,4.6916542843278286e-05,0.0006941731695677855
1816,0.0025788672440203732,0.00016645799112346982,9.35435617569008e-05
1057,0.0024322806258215693,0.001269498155703097,0.0006624655238853442
302,0.0024297729505532084,0.0015155435443888015,0.0005387742153825607
1087,0.0023657749086892425,0.0016614828684293759,0.00027692358242930535
1145,0.00230958929829554,0.0013338741873308486,0.0007540196768653951
389,0.0022844442922899133,0.0022749469771902544,0.0007282201850677169
272,0.002221253550493439,0.0007828724384232322,0.001059303834773822
1199,0.002202060056449429,0.0010071893975684976,0.0002518352590465355
926,0.0021357032222453333,0.0011950353938190068,2.1512130762388425e-05
1097,0.0021222730603024566,0.001279415413691624,0.0004296115694607759
650,0.0021036671765150257,0.0014646861340951538,0.00023204779981316525
1758,0.0020841751239976613,0.0001702370948682234,0.00017922523600226494
586,0.002034665168896762,0.0005220037430437122,0.0001396012901981478
1465,0.0020323148819554773,0.00018405954109982728,0.00023654121098876175
1970,0.0019832647918269614,0.0021933460533616334,0.000483407128213776
1683,0.0019700666976664853,-0.000266245194188756,0.0002557965207414998
1636,0.0019650242601116532,-0.00038896435288541625,0.0002931156773465437
1215,0.0019396073949065607,-6.427540593327101e-05,3.3549269038824707e-05
703,0.0019355090728197788,0.000153760841855477,0.0004332453355833717
892,0.0019309060226897848,0.0019450479998804522,0.0008700651117827403
216,0.001922942778328118,0.0014001379269379017,0.0001843847112136434
66,0.001895606234511617,0.001105346315796581,0.0005557346879020474
935,0.0018928126207318544,0.0007710291875964911,0.00028241899346130475
725,0.0018649536531254792,0.0026258767287578775,0.0012486080552367794
1910,0.0018497139234177026,0.0033546006902099856,0.0002546793463994882
1905,0.0018226443937878064,0.000709990549608038,0.00035942982142231784
647,0.001806225724348168,0.001089428075126242,0.0002725773817364823
287,0.0018009628780660402,0.0012938941561510358,0.0002539988621724104
959,0.0017977496540072392,0.00011721098566216022,0.0004590151877087447
1524,0.0017940723714046146,0.0006168990199146481,0.0003059002857372497
1234,0.0017562823676703172,-0.0002971035438746883,0.00030556419189409814
1043,0.0017419800803265184,-0.0002896915761697594,0.0005561945917939033
1171,0.0017394386857930173,0.0005427283169012013,0.00023814575342600997
629,0.0017389398877887998,0.0002738108523348733,0.00040021566218837617
780,0.0017231569552409363,0.0010140515628303721,0.0003273825594673754
87,0.001716972776102136,-0.00028471129783295507,0.0003146331624088948
468,0.0017112500722443584,0.004660019111397166,0.00029225523979544863
1855,0.001705971737765384,0.0012766568153021278,0.0003499578805846229
969,0.0016886416292803317,0.0004307806708467865,0.00013617628589347166
184,0.0016845825760392371,0.0007316874386722091,0.000405862180712334
147,0.0016826291300051724,0.0009235475221940718,0.0005481638729240439
343,0.0016792956549068518,0.0007103883324245756,0.00017941175673231538
1181,0.0016713792497104172,0.0013100639176356992,0.0004157726147208509
695,0.0016443585358349318,0.0002868484807017439,0.0003806407752985172
1757,0.0016255047532349389,2.207000749302838e-05,0.00015810319593825855
366,0.0016158946551659116,0.00017481612353679546,0.0007231596143261286
579,0.0015992511147573996,-0.0006748662336542773,0.0001347725587737444
807,0.0015933114868874065,0.0007915743911843057,0.000315850897737921
1457,0.0015760251585723091,-0.00041770092160945776,0.00011710183278972848
1480,0.001571795064737645,0.00041829962516863145,0.00010470867421787873
524,0.0015586263800514018,0.0007249534532702459,0.0003652101397233396
1019,0.001551687355935364,0.00042656046037466605,0.0001822950629549854
843,0.0015056705701640347,0.0006246621087835728,6.197124194194931e-05
377,0.0015023649822024216,-0.0002109550355407682,0.0002694612154526432
1120,0.0014883561705622,-0.00012684097059519525,0.0004381230665536732
1602,0.0014826377461792774,0.002376408393186239,4.691223663110822e-05
