split,n_train,seed,model,r2,rmse,mae,best_epoch,train_seconds
random,3000,2,rf,0.7106435051981965,0.7399070595256557,0.5383616204321613,-1,8.4
random,3000,2,gin,0.6482363939285278,0.8158043280586527,0.6161944270133972,59,54.8
random,3500,42,rf,0.7270434470993787,0.7186332642176968,0.5141893736665808,-1,10.5
random,3500,42,gin,0.6642690896987915,0.7969961261320079,0.5948624014854431,72,85.5
random,3500,1,rf,0.729841320590675,0.7149406913154035,0.512060331776798,-1,10.4
random,3500,1,gin,0.6746537685394287,0.7845731629293036,0.5943058729171753,73,76.2
random,3500,2,rf,0.725782257284914,0.7202915655706114,0.5236255557462891,-1,10.6
random,3500,2,gin,0.6723757982254028,0.7873150578059303,0.5899431705474854,88,64.8
random,4000,42,rf,0.7354225821762068,0.7075170992880258,0.5046673254274746,-1,11.0
random,4000,42,gin,0.6978567838668823,0.7560786833486817,0.5579430460929871,87,82.3
random,4000,1,rf,0.7399112046528191,0.7014898235517986,0.5054492169865873,-1,10.7
random,4000,1,gin,0.6883666515350342,0.7678608458610289,0.5680875778198242,83,75.4
random,4000,2,rf,0.7359871071270017,0.7067618868044282,0.5080803971190222,-1,11.0
random,4000,2,gin,0.7023333311080933,0.7504567901020499,0.5623602867126465,93,70.5
random,4400,42,rf,0.7410611037292058,0.6999373997859444,0.5008963508849743,-1,12.7
random,4400,42,gin,0.7093713283538818,0.7415318052141971,0.5469202995300293,99,85.0
random,4400,1,rf,0.7411369529038883,0.6998348783740691,0.5006694399547842,-1,12.7
random,4400,1,gin,0.7050986289978027,0.7469627951251507,0.5519545078277588,89,79.1
random,4400,2,rf,0.7410623223879738,0.6999357527065267,0.5012667181591393,-1,12.8
random,4400,2,gin,0.6882495284080505,0.7680051358393963,0.5637935400009155,90,75.3
scaffold,500,42,rf,0.4168738676012381,1.096458065234994,0.8572743124950903,-1,0.7
scaffold,500,42,gin,0.3958214521408081,1.116075081955516,0.8633646965026855,68,11.4
scaffold,500,1,rf,0.44396270688076256,1.0706875049684201,0.8440976992467278,-1,0.7
scaffold,500,1,gin,0.39859551191329956,1.1135099477267922,0.8767919540405273,55,11.0
scaffold,500,2,rf,0.45179298186501127,1.0631219126550981,0.8238510308963104,-1,0.8
scaffold,500,2,gin,0.3727949261665344,1.1371441861023022,0.8881221413612366,67,9.7
scaffold,1000,42,rf,0.493094279735125,1.0222906066363753,0.7946002124843732,-1,1.6
scaffold,1000,42,gin,0.4418143033981323,1.07275390625,0.8455425500869751,68,30.7
scaffold,1000,1,rf,0.44987473101525144,1.064980292411451,0.8201244372970381,-1,1.8
scaffold,1000,1,gin,0.3647426962852478,1.1444204231218518,0.8840383291244507,83,27.0
scaffold,1000,2,rf,0.4490014005587074,1.0658252916706452,0.8086958394882582,-1,2.0
scaffold,1000,2,gin,0.43637198209762573,1.0779709083899351,0.8493227958679199,63,20.7
scaffold,1500,42,rf,0.545404679492586,0.9681067644144489,0.7408049134763975,-1,2.7
scaffold,1500,42,gin,0.438493549823761,1.0759401712376133,0.8298936486244202,88,39.9
scaffold,1500,1,rf,0.4380221263249041,1.0763918048779506,0.8382606216375524,-1,3.0
scaffold,1500,1,gin,0.38011205196380615,1.130491681186011,0.8789747953414917,70,28.8
scaffold,1500,2,rf,0.47325656046250897,1.042102269858697,0.7869580877470224,-1,3.1
scaffold,1500,2,gin,0.45674657821655273,1.0583077920750295,0.8110819458961487,76,30.7
scaffold,2000,42,rf,0.5607187564953933,0.9516606327418384,0.7296201554217973,-1,4.0
scaffold,2000,42,gin,0.48436421155929565,1.0310560679873608,0.8058686256408691,85,43.6
scaffold,2000,1,rf,0.44668194481562495,1.0680662578135867,0.821584714404482,-1,4.5
scaffold,2000,1,gin,0.4012783169746399,1.111023497438581,0.8588792085647583,98,38.6
scaffold,2000,2,rf,0.5024898209121896,1.0127721718757268,0.7615103936483211,-1,4.4
scaffold,2000,2,gin,0.48210251331329346,1.033314805223624,0.7925851345062256,93,37.4
scaffold,2500,42,rf,0.5739093815074653,0.9372636203037219,0.7060338337774582,-1,5.4
scaffold,2500,42,gin,0.5135843753814697,1.0014159192020073,0.771369457244873,100,53.9
scaffold,2500,1,rf,0.4833970989201535,1.032022568325288,0.7925378316114078,-1,6.2
scaffold,2500,1,gin,0.438166081905365,1.0762538982502412,0.8219462037086487,82,48.2
scaffold,2500,2,rf,0.5350567455182365,0.9790632513233416,0.7357755904489858,-1,5.6
scaffold,2500,2,gin,0.475996196269989,1.0393886771251288,0.7984203696250916,66,39.1
scaffold,3000,42,rf,0.5604508455463535,0.9519507901806071,0.7153364506594477,-1,7.1
scaffold,3000,42,gin,0.5312312841415405,0.9830826950429024,0.748054027557373,96,60.8
scaffold,3000,1,rf,0.5285397006066195,0.9859010702056837,0.7510877970083172,-1,7.8
scaffold,3000,1,gin,0.42163217067718506,1.0919753254663345,0.8384822010993958,96,55.7
scaffold,3000,2,rf,0.563734368842411,0.9483884900652473,0.7126497633466867,-1,7.3
scaffold,3000,2,gin,0.5063310265541077,1.008854822340112,0.7614555358886719,82,52.3
scaffold,3500,42,rf,0.5528780973890868,0.9601160871424599,0.7214556705928513,-1,8.9
scaffold,3500,42,gin,0.5221944451332092,0.9925133477954153,0.7462727427482605,83,60.5
scaffold,3500,1,rf,0.5504081970810603,0.9627642745049168,0.7260708351696074,-1,9.2
scaffold,3500,1,gin,0.5071824789047241,1.007984471988663,0.7809144258499146,99,55.4
scaffold,3500,2,rf,0.5747676212617963,0.9363192174811713,0.7019739074881941,-1,9.0
scaffold,3500,2,gin,0.5051606893539429,1.0100499828170368,0.7536880373954773,84,56.4
scaffold,4000,42,rf,0.5670738389021583,0.9447517159815473,0.7092210350865815,-1,11.3
scaffold,4000,42,gin,0.536517858505249,0.9775236054226403,0.7385935187339783,88,69.4
scaffold,4000,1,rf,0.5634651815102685,0.948681035226488,0.7142157857259369,-1,11.3
scaffold,4000,1,gin,0.519566535949707,0.9952389808223007,0.7466735243797302,80,68.0
scaffold,4000,2,rf,0.57281729871299,0.9384639687844268,0.7023043992802136,-1,11.1
scaffold,4000,2,gin,0.5136961340904236,1.0013009192464517,0.7572033405303955,94,66.7
scaffold,4400,42,rf,0.5638631813539794,0.9482484683519121,0.7122575333227146,-1,13.1
scaffold,4400,42,gin,0.5491663217544556,0.9640930282235446,0.7322973608970642,84,74.6
scaffold,4400,1,rf,0.5599492429665835,0.9524938066065785,0.7145384170907865,-1,12.9
scaffold,4400,1,gin,0.5175126791000366,0.9973640270822385,0.7505831122398376,98,72.8
scaffold,4400,2,rf,0.5609898692775267,0.9513669175118727,0.7103462472904838,-1,13.1
scaffold,4400,2,gin,0.511446475982666,1.0036142718755754,0.7700531482696533,83,72.3
